transaction_id,sender_id,receiver_id,amount,timestamp
TXN_00216,MERCHANT_PAYROLL,EMP_042,2877.77,2025-08-01 17:03:48
TXN_00067,MERCHANT_PAYROLL,EMP_001,3148.97,2025-06-02 17:00:00
TXN_00010,ACC_0009,ACC_0006,3309.7,2025-07-20 17:05:00
TXN_00201,MERCHANT_PAYROLL,EMP_027,2921.55,2025-08-01 17:02:16
TXN_00016,ACC_0005,ACC_0041,2011.81,2025-06-05 14:58:00
TXN_00198,MERCHANT_PAYROLL,EMP_024,3070.93,2025-08-01 17:02:07
TXN_00026,MULE_A03,MULE_A01,4200.0,2025-06-06 23:00:00
TXN_00194,MERCHANT_PAYROLL,EMP_020,3002.85,2025-08-01 17:01:44
TXN_00155,MERCHANT_PAYROLL,EMP_035,3033.0,2025-07-02 17:02:47
TXN_00127,MERCHANT_PAYROLL,EMP_007,2803.73,2025-07-02 17:00:30
TXN_00213,MERCHANT_PAYROLL,EMP_039,3193.57,2025-08-01 17:03:26
TXN_00020,ACC_0047,ACC_0029,4986.66,2025-06-10 00:31:00
TXN_00097,MERCHANT_PAYROLL,EMP_031,2839.16,2025-06-02 17:02:29
TXN_00178,MERCHANT_PAYROLL,EMP_004,2959.87,2025-08-01 17:00:19
TXN_00222,MERCHANT_PAYROLL,EMP_048,2985.82,2025-08-01 17:04:15
TXN_00138,MERCHANT_PAYROLL,EMP_018,3175.57,2025-07-02 17:01:30
TXN_00147,MERCHANT_PAYROLL,EMP_027,3131.74,2025-07-02 17:02:12
TXN_00031,MULE_C01,MULE_C02,6000.0,2025-06-21 17:00:00
TXN_00224,MERCHANT_PAYROLL,EMP_050,2982.58,2025-08-01 17:04:26
TXN_00185,MERCHANT_PAYROLL,EMP_011,2846.26,2025-08-01 17:01:04
