transaction_id,sender_id,receiver_id,amount,timestamp
TX001,ACC_A,ACC_B,100.50,2025-01-01 10:00:00
TX002,ACC_B,ACC_C,95.25,2025-01-01 11:00:00
TX003,ACC_C,ACC_A,80.00,2025-01-01 12:00:00
TX004,ACC_D,ACC_E,50.00,2025-01-02 09:00:00
TX005,ACC_F,ACC_E,60.00,2025-01-02 09:30:00
TX006,ACC_G,ACC_E,55.00,2025-01-02 10:00:00
TX007,ACC_H,ACC_E,40.00,2025-01-02 10:30:00
TX008,ACC_I,ACC_E,45.00,2025-01-02 11:00:00
TX009,ACC_J,ACC_E,42.00,2025-01-02 11:30:00
TX010,ACC_K,ACC_E,43.00,2025-01-02 12:00:00
TX011,ACC_L,ACC_E,47.00,2025-01-02 12:30:00
TX012,ACC_M,ACC_E,49.00,2025-01-02 13:00:00
TX013,ACC_N,ACC_E,51.00,2025-01-02 13:30:00
TX014,ACC_O,ACC_P,30.00,2025-01-03 08:00:00
TX015,ACC_O,ACC_Q,32.00,2025-01-03 08:10:00
TX016,ACC_O,ACC_R,34.00,2025-01-03 08:20:00
TX017,ACC_O,ACC_S,36.00,2025-01-03 08:30:00
TX018,ACC_O,ACC_T,38.00,2025-01-03 08:40:00
TX019,ACC_O,ACC_U,40.00,2025-01-03 08:50:00
TX020,ACC_O,ACC_V,42.00,2025-01-03 09:00:00
TX021,ACC_O,ACC_W,44.00,2025-01-03 09:10:00
TX022,ACC_O,ACC_X,46.00,2025-01-03 09:20:00
TX023,ACC_O,ACC_Y,48.00,2025-01-03 09:30:00
TX024,ACC_O,ACC_Z,50.00,2025-01-03 09:40:00
TX025,ACC_P,ACC_Q,20.00,2025-01-04 10:00:00
TX026,ACC_Q,ACC_R,22.00,2025-01-04 11:00:00
TX027,ACC_R,ACC_S,24.00,2025-01-04 12:00:00
